Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Date Added
Prolonged presence of SARS-CoV-2 viral RNA in faecal samples,"Wu, Yongjian; Guo, Cheng; Tang, Lantian; Hong, Zhongsi; Zhou, Jianhui; Dong, Xin; Yin, Huan; Xiao, Qiang; Tang, Yanping; Qu, Xiujuan; Kuang, Liangjian; Fang, Xiaomin; Mishra, Nischay; Lu, Jiahai; Shan, Hong; Jiang, Guanmin; Huang, Xi",,2020,,The Lancet Gastroenterology & Hepatology,,,,,https://doi.org/10.1016/S2468-1253(20)30083-2,10267,#9895,Wu 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment; Infection prevention and control",20-03-20
"Nowcasting and forecasting the potential domestic and international spread of the 2019-nCoV outbreak originating in Wuhan, China: a modelling study (vol 395, pg 689, 2020)","Wu, J. T.; Leung, K.; Leung, G. M.",,2020,,Lancet,395,10225,E41-E41,WOS:000516755200001,10.1016/s0140-6736(20)30302-0,10667,#9898,Wu 2020,,* Epidemiological study; Epidemiology,20-03-20
High-flow nasal-oxygenation-assisted fibreoptic tracheal intubation in critically ill patients with COVID-19 pneumonia: a prospective randomised controlled trial,"Wu, Cai-Neng; Xia, Lin-Zhi; Li, Kun-Hong; Ma, Wu-Hua; Yu, Dong-Nan; Qu, Bo; Li, Bi-Xi; Cao, Ying",,2020,,British Journal of Anaesthesia,,,,,https://doi.org/10.1016/j.bja.2020.02.020,10270,#9903,Wu 2020,,"* Comparative study, RCT; Clinical aspects, diagnosis, treatment",20-03-20
"COVID-19: Knowns, Unknowns, and Questions","Weston, Stuart; Frieman, Matthew B.",The recent emergence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) from the Hubei province in China in late 2019 demonstrates the epidemic potential of coronaviruses. The rapid spread of this virus across the world in only 2 months highlights the transmissibility of this family of viruses and the significant morbidity and mortality that they can cause. We highlight the current state of knowledge of coronavirus biology while answering questions concerning the current outbreak of SARS-CoV-2.,2020,,mSphere,5,2,,,10.1128/mSphere.00203-20,10170,#9910,Weston 2020,,* Opinion piece,20-03-20
Temporal Changes of CT Findings in 90 Patients with COVID-19 Pneumonia: A Longitudinal Study,"Wang, Yuhui; Dong, Chengjun; Hu, Yue; Li, Chungao; Ren, Qianqian; Zhang, Xin; Shi, Heshui; Zhou, Min","Background CT may play a central role in the diagnosis and management of COVID-19 pneumonia. Purpose To perform a longitudinal study to analyze the serial CT findings over time in patients with COVID-19 pneumonia. Materials and Methods During January 16 to February 17, 2020, 90 patients (male:female, 33:57; mean age, 45 years) with COVID-19 pneumonia were prospectively enrolled and followed up until they were discharged or died, or until the end of the study. A total of 366 CT scans were acquired and reviewed by 2 groups of radiologists for the patterns and distribution of lung abnormalities, total CT scores and number of zones involved. Those features were analyzed for temporal change. Results CT scores and number of zones involved progressed rapidly, peaked during illness days 6-11 (median: 5 and 5), and followed by persistence of high levels. The predominant pattern of abnormalities after symptom onset was ground-glass opacity (35/78 [45%] to 49/79 [62%] in different periods). The percentage of mixed pattern peaked (30/78 [38%]) on illness days 12-17, and became the second most predominant pattern thereafter. Pure ground-glass opacity was the most prevalent sub-type of ground-glass opacity after symptom onset (20/50 [40%] to 20/28 [71%]). The percentage of ground-glass opacity with irregular linear opacity peaked on illness days 6-11 (14/50 [28%)]) and became the second most prevalent subtype thereafter. The distribution of lesions was predominantly bilateral and subpleural. 66/70 (94%) patients discharged had residual disease on final CT scans (median CT scores and zones involved: 4 and 4), with ground-glass opacity (42/70 [60%]) and pure ground-glass opacity (31/42 [74%]) the most common pattern and subtype. Conclusion The extent of lung abnormalities on CT peaked during illness days 6-11. The temporal changes of the diverse CT manifestations followed a specific pattern, which might indicate the progression and recovery of the illness.",2020,,Radiology,,,200843-200843,,10.1148/radiol.2020200843,10223,#9922,Wang 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
"COVID-19 infection epidemic: the medical management strategies in Heilongjiang Province, China","Wang, Hongliang; Wang, Sicong; Yu, Kaijiang",,2020,,,24,,107-107,,10.1186/s13054-020-2832-8,10259,#9931,Wang 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",20-03-20
Acute Small Bowel Pathology: Spectrum of Nonneoplastic Diseases on CT Updates on COVID-19 Infection During Pregnancy,"Wang, Chen; Chen, Dun-Jin; Yang, Hui-Xia",,2020,,Contemporary Diagnostic Radiology,43,6,8,00219246-202003150-00002,10.1097/01.CDR.0000656176.46709.fa 10.1097/fm9.0000000000000049,10814,#9934,Wang 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",20-03-20
Timely blood glucose management for the outbreak of 2019 novel coronavirus disease (COVID-19) is urgently needed,"Wang, Aihong; Zhao, Weibo; Xu, Zhangrong; Gu, Jianwen",,2020,,Diabetes research and clinical practice,,,108118-108118,MEDLINE:32179126,10.1016/j.diabres.2020.108118,10403,#9935,Wang 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
Fetal tissue ban blocks study of potential coronavirus therapies,"Wadman, Meredith","The Trump administration’s 2019 ban on the use of human fetal tissue by scientists at the National Institutes of Health (NIH) is preventing a leading researcher from using special mice to test potential therapies for coronavirus disease 2019 (COVID-19), The Washington Post reports. According to the Post, Kim Hasenkrug, an immunologist at NIH’s Rocky Mountain Laboratories, has spent nearly 1 month appealing to the Trump administration to grant him an exemption to the administration’s strict policy. Federal restrictions imposed in June 2019 ban NIH scientists from using human fetal tissue donated after elective abortions.",2020,,Science,,,,,10.1126/science.abb8054,10165,#9936,Wadman 2020,,"* Opinion piece; Ethics, social science, economics",20-03-20
Coronavirus Endoribonuclease and Deubiquitinating Interferon Antagonists Differentially Modulate the Host Response during Replication in Macrophages,"Volk, Aaron; Hackbart, Matthew; Deng, Xufang; Cruz-Pulido, Yazmin; O'Brien, Amornrat; Baker, Susan C.","Coronaviruses encode multiple interferon antagonists that modulate the host response to virus replication. Here, we evaluated the host transcriptional response to infection with murine coronaviruses encoding independent mutations in one of two different viral antagonists: the deubiquitinase (DUB) within nonstructural protein 3 or the endoribonuclease (EndoU) within nonstructural protein 15. We used transcriptomics approaches to compare the scope and kinetics of the host response to the wild-type, DUBmut, and EndoUmut viruses in infected macrophages. We found that the EndoUmut virus activates a focused response predominantly involving type I interferons and interferon-related genes, whereas the WT and DUBmut viruses more broadly stimulate upregulation of over 2,800 genes, including networks associated with activating the unfolded protein response (UPR), and the proinflammatory response associated with viral pathogenesis. This study highlights the role of viral interferon antagonists in shaping the kinetics and magnitude of the host response during virus infection and demonstrates that inactivating a dominant viral antagonist, the coronavirus endoribonuclease, dramatically alters the host response in macrophages.ImportanceMacrophages are an important cell type during coronavirus infections because they ""notice"" the infection and respond by inducing type I interferons, which limits virus replication. In turn, coronaviruses encode proteins that mitigate the cell's ability to signal an interferon response. Here, we evaluated the host macrophage response to two independent mutant coronaviruses: one with reduced deubiquitinating activity (DUBmut) and the other containing an inactivated endoribonuclease (EndoUmut). We observed a rapid, robust, and focused response to the EndoUmut virus, which was characterized by enhanced expression of interferon and interferon-related genes. In contrast, wild-type virus and the DUBmut virus elicited a more limited interferon response and ultimately activated over 2,800 genes, including players in the unfolded protein response and pro-inflammatory pathways associated with progression of significant disease. This study reveals that EndoU activity substantially contributes to the ability of coronaviruses to evade the host innate response and to replicate in macrophages.",2020,,Journal of virology,,,,,10.1128/JVI.00178-20,10253,#9937,Volk 2020,,"Clinical aspects, diagnosis, treatment; Virology, immunology",20-03-20
New blood tests for antibodies could show true scale of coronavirus pandemic,"Vogel, Gretchen","How many COVID-19 cases have gone undetected? And are those who had mild cases of the disease—perhaps so mild they dismissed it as a cold or allergies—immune to new infections? If so, they could slow the spread of the burgeoning pandemic. Labs and companies around the world have raced to develop antibody tests, and a few have been used in small studies and received commercial approval, including several from China. But so far, large-scale data from such tests—for example showing what fraction of people in the hard-hit city of Wuhan, China, might now be immune—is still lacking or at least not public. Scientists hope that will soon change as more tests become available.",2020,,Science,,,,,10.1126/science.abb8028,10164,#9938,Vogel 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment; Epidemiology",20-03-20
Emerging WuHan (COVID-19) coronavirus: glycan shield and structure prediction of spike glycoprotein and its interaction with human CD26,"Vankadari, Naveen; Wilce, Jacqueline A.","The recent outbreak of pneumonia-causing COVID-19 in China is an urgent global public health issue with an increase in mortality and morbidity. Here we report our modelled homo-trimer structure of COVID-19 spike glycoprotein in both closed (ligand-free) and open (ligand-bound) conformation, which is involved in host cell adhesion. We also predict the unique N- and O-linked glycosylation sites of spike glycoprotein that distinguish it from the SARS and underlines shielding and camouflage of COVID-19 from the host the defence system. Furthermore, our study also highlights the key finding that the S1 domain of COVID-19 spike glycoprotein potentially interacts with the human CD26, a key immunoregulatory factor for hijacking and virulence. These findings accentuate the unique features of COVID-19 and assist in the development of new therapeutics.",2020,,Emerging microbes & infections,9,1,601-604,MEDLINE:32178593,10.1080/22221751.2020.1739565,10291,#9940,Vankadari 2020,,"Virology, immunology",20-03-20
[Coronavirus disease 2019 (COVID-19): update for anesthesiologists and intensivists March 2020],"Thomas-Rüddel, D.; Winning, J.; Dickmann, P.; Ouart, D.; Kortgen, A.; Janssens, U.; Bauer, M.","The current outbreak of coronavirus disease (COVID-19) has reached Germany. The majority of people infected present with mild disease, but there are severe cases that need intensive care. Unlike other acute infectious diseases progressing to sepsis, the severe courses of COVID19 seemingly show prolonged progression from onset of first symptoms to life-threatening deterioration of (primarily) lung function. Diagnosis relies on PCR using specimens from the respiratory tract. Severe ARDS reflects the hallmark of a critical course of the disease. Preventing nosocomial infections (primarily by correct use of personal protective equipment) and maintenance of hospitals' operational capability are of utmost importance. Departments of Anaesthesia, Intensive Care and emergency medicine will envisage major challenges.",2020,,Der Anaesthesist,,,,,10.1007/s00101-020-00758-x,10246,#9951,Thomas-Rüddel 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
[Recommendations for general surgery clinical practice in 2019 coronavirus disease situation],"Tao, K. X.; Zhang, B. X.; Zhang, P.; Zhu, P.; Wang, G. B.; Chen, X. P.","The 2019 coronavirus disease(COVID-19) is a highly infectious disease, has a long incubation period and a variety of clinical manifestations, which has a significant impact on public health and life. Afterwards, scientific and standardized work processing during the epidemic is of great significance for prevention and control. In order to implement the central government's decision-making deployment and defeat the COVID-19 as soon as possible, we had focused on the key points in the clinical work of general surgery according to latest relevant guidelines, literature and experience in epidemic prevention. Finally, we drafted the prevention and control strategies and recommendations to make a reference for medical staff of general surgery to fight against COVID-19.",2020,,Zhonghua wai ke za zhi [Chinese journal of surgery],58,3,170-177,,10.3760/cma.j.issn.0529-5815.2020.03.003,10261,#9956,Tao 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",20-03-20
The novel coronavirus Covid-19: What are the ophthalmic risks?,"Tahiri Joutei Hassani, R.; Sandali, O.",,2020,,Journal francais d'ophtalmologie,,,,MEDLINE:32165057,10.1016/j.jfo.2020.02.001,10572,#9964,TahiriJouteiHassani 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment; Infection prevention and control",20-03-20
Lower mortality of COVID-19 by early recognition and intervention: experience from Jiangsu Province,"Sun, Qin; Qiu, Haibo; Huang, Mao; Yang, Yi",,2020,,,10,,33-33,,10.1186/s13613-020-00650-2,10244,#9967,Sun 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",20-03-20
Clinical features of severe pediatric patients with coronavirus disease 2019 in Wuhan: a single center’s observational study,"Sun, Dan; Li, Hui; Lu, Xiao-Xia; Xiao, Han; Ren, Jie; Zhang, Fu-Rong; Liu, Zhi-Sheng","An outbreak of coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2 was first detected in Wuhan, Hubei, China. People of all ages are susceptible to SARS-CoV-2 infection. No information on severe pediatric patients with COVID-19 has been reported. We aimed to describe the clinical features of severe pediatric patients with COVID-19. We included eight severe or critically ill patients with COVID-19 who were treated at the Intensive Care Unit (ICU), Wuhan Children’s Hospital from January 24 to February 24. We collected information including demographic data, symptoms, imaging data, laboratory findings, treatments and clinical outcomes of the patients with severe COVID-19. The onset age of the eight patients ranged from 2 months to 15 years; six were boys. The most common symptoms were polypnea (8/8), followed by fever (6/8) and cough (6/8). Chest imaging showed multiple patch-like shadows in seven patients and ground-glass opacity in six. Laboratory findings revealed normal or increased whole blood counts (7/8), increased C-reactive protein, procalcitonin and lactate dehydrogenase (6/8), and abnormal liver function (4/8). Other findings included decreased CD16 + CD56 (4/8) and Th/Ts*(1/8), increased CD3 (2/8), CD4 (4/8) and CD8 (1/8), IL-6 (2/8), IL-10 (5/8) and IFN-γ (2/8). Treatment modalities were focused on symptomatic and respiratory support. Two critically ill patients underwent invasive mechanical ventilation. Up to February 24, 2020, three patients remained under treatment in ICU, the other five recovered and were discharged home. In this series of severe pediatric patients in Wuhan, polypnea was the most common symptom, followed by fever and cough. Common imaging changes included multiple patch-like shadows and ground-glass opacity; and a cytokine storm was found in these patients, which appeared more serious in critically ill patients.",2020,,World Journal of Pediatrics,,,01-Sep,,10.1007/s12519-020-00354-4,10274,#9970,Sun 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
COVID-19 pandemic: perspectives on an unfolding crisis,"Spinelli, A.; Pellino, G.",,2020,,The British journal of surgery,,,,,10.1002/bjs.11627,10226,#9979,Spinelli 2020,,* Opinion piece,20-03-20
